id	ei[keV]	xi[cm]	yi[cm]	zi[cm]	xdi[cm]	ydi[cm]	zdi[cm]
183	9.006968000e+03	2.957400000e-01	-4.347400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
184	1.882729000e+03	5.392800000e-01	-4.878000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
185	5.330841000e+03	-1.526400000e-01	8.116800000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
186	4.333786000e+03	5.318000000e-01	4.072600000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
187	9.134800000e+01	4.830900000e-01	-7.453200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
188	5.947736000e+03	-4.799500000e-01	-1.473300000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
189	4.492386000e+03	5.836200000e-01	7.523000000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
190	3.340146000e+03	-5.120000000e-01	-7.617900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
191	5.958494000e+03	3.387700000e-01	-1.219400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
192	4.945802000e+03	-5.544500000e-01	-7.324700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
193	9.291936000e+03	-3.633800000e-01	-4.929200000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
194	4.203518000e+03	-2.619500000e-01	-6.361400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
195	5.102100000e+01	2.861700000e-01	6.378700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
196	1.352321000e+03	-2.909300000e-01	-6.549900000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
197	6.055544000e+03	-4.826600000e-01	8.619700000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
198	8.364890000e+02	-5.155200000e-01	-2.721400000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
199	8.757206000e+03	2.346500000e-01	4.264000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
200	4.831503000e+03	-4.447700000e-01	-6.430000000e-02	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
201	3.046900000e+03	3.565600000e-01	-4.710000000e-03	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
202	8.659605000e+03	6.204300000e-01	2.541500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
203	3.081090000e+02	-4.667300000e-01	2.077500000e-01	2.000000000e+07	0.000000000e+00	0.000000000e+00	-1.000000000e+00
